Project Name,File Name,Year,Score Column Used,Total Participants,A Count,Difficulty Coefficient,Pass Rate
H-3 Beta Water,01_Labcode_1-342_H-3_Beta_Water.xlsx,2023,Final Score,124,101,0.6803797468354431,0.8145161290322581
Co-60 Gamma Water,02_Labcode_1-344_Co-60_Gamma_Water.xlsx,2023,Final Score,285,266,0.15822784810126578,0.9333333333333333
U-234 Alpha Water,03_Labcode_1-333_U-234_Alpha_Water.xlsx,2023,Final Score,78,66,0.7911392405063291,0.8461538461538461
U-235 Alpha Water,04_U-235_Alpha_Water.xlsx,2023,Final Score,69,53,0.8322784810126582,0.7681159420289855
U-238 Alpha Water,05_U-238_Alpha_Water.xlsx,2023,Final Score,81,69,0.7816455696202531,0.8518518518518519
U-238 Gamma Water,06_U-238_Gamma_Water.xlsx,2023,Final Score,10,5,0.9841772151898734,0.5
Am-241 Gamma Water,07_Am-241_Gamma_Water.xlsx,2023,Final Score,267,239,0.24367088607594933,0.8951310861423221
Sr-90 Beta Water,08_Sr-90_Beta_Water.xlsx,2023,Final Score,120,100,0.6835443037974683,0.8333333333333334
Sb-125 Gamma Water,09_Sb-125_Gamma_Water.xlsx,2023,Final Score,232,221,0.3006329113924051,0.9525862068965517
Cs-134 Gamma Water,10_Cs-134_Gamma_Water.xlsx,2023,Final Score,287,252,0.20253164556962022,0.8780487804878049
Cs-137 Gamma Water,11_Cs-137_Gamma_Water.xlsx,2023,Final Score,287,266,0.15822784810126578,0.926829268292683
Po-210 Alpha Water,12_Po-210_Alpha_Water.xlsx,2023,Final Score,39,27,0.9145569620253164,0.6923076923076923
Pb-210 Beta Water,13_Pb-210_Beta_Water.xlsx,2023,Final Score,31,24,0.9240506329113924,0.7741935483870968
Pb-210 Gamma Water,14_Pb-210_Gamma_Water.xlsx,2023,Final Score,28,13,0.9588607594936709,0.4642857142857143
Ra-226 Alpha Water,15_Ra-226_Alpha_Water.xlsx,2023,Final Score,58,35,0.8892405063291139,0.603448275862069
Ra-226 Gamma Water,16_Ra-226_Gamma_Water.xlsx,2023,Final Score,46,25,0.9208860759493671,0.5434782608695652
K-40 Gamma Soil,17_K-40_Gamma_Soil.xlsx,2023,Final Score,218,161,0.490506329113924,0.7385321100917431
Cs-134 Gamma Soil,18_Cs-134_Gamma_Soil.xlsx,2023,Final Score,223,181,0.42721518987341767,0.8116591928251121
Cs-137 Gamma Soil,19_Cs-137_Gamma_Soil.xlsx,2023,Final Score,247,209,0.3386075949367089,0.8461538461538461
Tl-208 Gamma Soil,20_Tl-208_Gamma_Soil.xlsx,2023,Final Score,103,79,0.75,0.7669902912621359
Pb-210 Gamma Soil,21_Pb-210_Gamma_Soil.xlsx,2023,Final Score,78,57,0.819620253164557,0.7307692307692307
Bi-212 Gamma Soil,22_Bi-212_Gamma_Soil.xlsx,2023,Final Score,65,40,0.8734177215189873,0.6153846153846154
Pb-212 Gamma Soil,23_Pb-212_Gamma_Soil.xlsx,2023,Final Score,117,93,0.7056962025316456,0.7948717948717948
Bi-214 Gamma Soil,24_Bi-214_Gamma_Soil.xlsx,2023,Final Score,111,84,0.7341772151898734,0.7567567567567568
Pb-214 Gamma Soil,25_Pb-214_Gamma_Soil.xlsx,2023,Final Score,114,81,0.7436708860759493,0.7105263157894737
Ra-226 Gamma Soil,26_Ra-226_Gamma_Soil.xlsx,2023,Final Score,113,70,0.7784810126582279,0.6194690265486725
Ac-228 Gamma Soil,27_Ac-228_Gamma_Soil.xlsx,2023,Final Score,137,119,0.6234177215189873,0.8686131386861314
Th-234 Gamma Soil,28_Th-234_Gamma_Soil.xlsx,2023,Final Score,37,28,0.9113924050632911,0.7567567567567568
U-235 Gamma Soil,29_U-235_Gamma_Soil.xlsx,2023,Final Score,27,7,0.9778481012658228,0.25925925925925924
Cs-134 Gamma Surface,30_Cs-134_Gamma_Surface.xlsx,2023,Final Score,205,144,0.5443037974683544,0.7024390243902439
Sr-90 Beta Surface,31_Sr-90_Beta_Surface.xlsx,2023,Final Score,106,45,0.8575949367088608,0.42452830188679247
Cs-134 Gamma Surface,32_Cs-134_Gamma_Surface.xlsx,2023,Final Score,207,144,0.5443037974683544,0.6956521739130435
Sr-90 Beta Surface,33_Sr-90_Beta_Surface.xlsx,2023,Final Score,126,63,0.8006329113924051,0.5
Gross Alpha Water,34_Gross_Alpha_Water.xlsx,2023,Z-Score Evaluation,171,155,0.509493670886076,0.9064327485380117
Gross Beta Water,35_Gross_Beta_Water.xlsx,2023,Z-Score Evaluation,171,150,0.5253164556962026,0.8771929824561403
Gross Alpha Water,36_Gross_Alpha_Water.xlsx,2023,Z-Score Evaluation,161,147,0.5348101265822784,0.9130434782608695
Gross Beta Water,37_Gross_Beta_Water.xlsx,2023,Z-Score Evaluation,163,152,0.5189873417721519,0.9325153374233128
38 Th-232 Soil,38_Th-232_Soil.xlsx,2023,Z-Score Evaluation,39,20,0.9367088607594937,0.5128205128205128
39 U-234 Soil,39_U-234_Soil.xlsx,2023,Z-Score Evaluation,4,3,0.990506329113924,0.75
40 U-238 Soil,40_U-238_Soil.xlsx,2023,Z-Score Evaluation,42,23,0.9272151898734178,0.5476190476190477
