Project,File,Reason
3-516 K-40 Soil,047_Labcode_3-516_K-40_Soil.xlsx,Not participated
Cs-137 Gamma Soil,028_Labcode_1-512_Cs-137_Gamma_Soil.xlsx,Not participated
Pa-234m Gamma Sediment,025_Labcode_14-507_Pa-234m_Gamma_Sediment.xlsx,Not participated
Pa-234m Gamma Soil,040_Labcode_14-507_Pa-234m_Gamma_Soil.xlsx,Not participated
Pb-210 Gamma Sediment,020_Labcode_3-508_Pb-210_Gamma_Sediment.xlsx,Not participated
Pb-210 Gamma Soil,035_Labcode_2-508_Pb-210_Gamma_Soil.xlsx,Not participated
Pb-210 Gamma Water,003_Labcode_2-508_Pb-210_Gamma_Water.xlsx,Not participated
Ra-228 Gamma Sediment,016_Labcode_6-509_Ra-228_Gamma_Sediment.xlsx,Not participated
Ra-228 Gamma Soil,030_Labcode_2-509_Ra-228_Gamma_Soil.xlsx,Not participated
Th-232 Gamma Sediment,017_Labcode_9-506_Th-232_Gamma_Sediment.xlsx,Not participated
Th-232 Gamma Soil,029_Labcode_2-506_Th-232_Gamma_Soil.xlsx,Not participated
U-235 Gamma Sediment,026_Labcode_14-512_U-235_Gamma_Sediment.xlsx,Not participated
U-235 Gamma Soil,041_Labcode_2-512_U-235_Gamma_Soil.xlsx,Not participated
U-238 Gamma Sediment,019_Labcode_3-516_U-238_Gamma_Sediment.xlsx,Not participated
U-238 Gamma Soil,034_Labcode_2-516_U-238_Gamma_Soil.xlsx,Not participated
